basin,nse,pearsonr,kge
7050039160,0.7786886096000671,0.9295597287737246,0.6894991566698889
7050039620,0.8452870696783066,0.9314346950941648,0.7923874011356603
7050042310,0.8119413703680038,0.9024233583059883,0.8592651766625701
7050042740,0.8528928309679031,0.9303918634255763,0.822061146142593
7050045890,0.8088515251874924,0.9116376466839411,0.8235453880714053
7050048860,-0.11187601089477539,0.6858084912608792,-0.43253676207918135
7050305410,0.23166215419769287,0.9761081418004727,0.23312290343667386
7050332670,-4.643462181091309,0.2549392899058315,-0.21705266994081684
7050332680,0.5175678431987762,0.7682204030102415,0.45023326295012445
7050334790,0.8587285280227661,0.9595468067204215,0.7311803103144132
7050388580,0.6152463853359222,0.9624202269603304,0.38895647529832733
7050439780,0.8750547617673874,0.9398452801128603,0.8374512045051365
7050512060,0.595992773771286,0.8352129273942317,0.48938745236498704
7050574760,0.8798039704561234,0.9379940075561741,0.9159754092943329
7050585120,0.7525109499692917,0.8848274153171266,0.7596516535811112
7050649900,-0.24483072757720947,0.3466795830070591,-0.3233343480452455
7050675410,0.5713591873645782,0.8208988310258332,0.004794405691670001
7050682360,0.6582300961017609,0.831292580362567,0.7490339378368049
7050737080,-0.16054010391235352,0.6383896041968898,-0.29633001677946114
7060013170,0.8039332032203674,0.9103979719292792,0.7326912353390819
7060016090,-1.318345308303833,0.771211886556153,0.36000885244797176
7060039160,0.7739623039960861,0.9296435686714071,0.6842059575225108
7060046130,-1.8447771072387695,0.7537467330764904,-0.20939007280053068
7060329370,0.9217248111963272,0.9653909659772026,0.864209874232143
7060334030,0.3823122978210449,0.7295111157205116,0.6849376002630776
7060334790,0.8664707094430923,0.9595593067491351,0.744702187032972
7060342130,0.16994905471801758,0.8093520861673886,-0.0540293005021637
7060372880,0.48587775230407715,0.9122808672524026,0.3009227839656944
7060397370,0.31702226400375366,0.8869584965222689,0.05516646680706527
7060404520,0.3263757824897766,0.8683766328193181,0.050962810968254724
7060416830,-5.526735782623291,0.5837368519267881,-0.895574514569488
7060420200,0.7998280078172684,0.9254173094571319,0.6843010442908477
7060429560,0.7882947474718094,0.911258102777394,0.6944277441807872
7060446330,-1.0675830841064453,0.6257326087110179,0.14321595276632937
7060446380,0.34925317764282227,0.8696267564425262,0.34348982138937834
7060470900,-5.790889263153076,0.700389854243723,0.020689313843684665
7060476350,0.8571006208658218,0.940798840508964,0.8407123212274508
7060483120,0.7888980954885483,0.9346615202314096,0.5725224909950721
7060488160,0.21737247705459595,0.9135977575799549,0.4255730346347092
7060490010,0.6935683190822601,0.8862179020711314,0.6974387755541861
7060492010,0.7935444563627243,0.9031427773848202,0.7599999157871963
7060500890,0.7040941417217255,0.8775242915876266,0.5999265695422098
7060506940,0.7685326635837555,0.887109392941008,0.7518476555719567
7060519270,0.7038351595401764,0.8704598984060606,0.7074843461120144
7060527760,0.44636332988739014,0.7102791659791907,0.597863468953043
7060529340,0.5377277135848999,0.8980692520162682,0.6475669349480337
7060530380,0.8285709023475647,0.9283755499986631,0.7575463533206898
7060555510,0.3311111330986023,0.8290670658896417,0.4636102568087961
7060569390,0.37043315172195435,0.6487470617869338,0.6017814942278528
7060573090,0.7380971610546112,0.8903536292678214,0.6511136650408487
7060573680,0.41104596853256226,0.7706845101672661,0.6960183180685524
7060574760,0.8799787014722824,0.9381814956421726,0.9131796133869915
7060575000,0.5788396596908569,0.8025161887079436,0.5724548392387174
7060585430,0.04675346612930298,0.4721177249988073,-0.09855282883373206
7060597680,0.84574756026268,0.9216511620271104,0.8642417839763765
7060674060,0.0328669548034668,0.3405794648769443,-0.6252109006834137
7060674630,-0.03484368324279785,0.6034916482637616,-0.17890690195972425
7060687690,0.7183413505554199,0.8484758546186448,0.7564663826468946
7060733840,-1.391347885131836,-0.014023833596142236,-0.7226599424303648
7060746040,-0.03245949745178223,0.7376197303461987,0.24624463286447063
