basin,nse,kge
1050013070,-3.509025625069464,0.5054183743044766
1050013950,-14.568819819641519,0.49905980310587905
1050014220,-115.75298854986428,0.2167256710158948
1050014490,-12.883651665488431,0.45045879282701395
1050014920,-126.52019548813993,0.06320488726626672
1050017350,-0.015566658638946684,-0.020181912535597535
1050030450,-8.026371522006903,0.220700514118638
1050792830,-0.22498852060964758,-0.22229172005207753
1050792840,-0.2307334556255547,0.01807869098970427
1051315930,-3.5325352030240147,0.5567112274381898
1051552590,-0.055188029765451674,0.13297031658021152
1051608860,-1.1305880963225063,0.5124506007430158
1051616230,-0.3461796533386887,0.018564860421303564
1051623250,-257.4761635568024,0.22025600868222184
1051628760,-56.872523493589654,0.12694071318336064
1051629430,-0.7240664457147155,0.20955636240199182
1060013070,-3.509025625069464,0.5054183743044766
1060013200,-17.758043507821306,0.28847100617884747
1060013820,-0.01806308004826862,0.396888594223629
1060013950,-14.568819819641519,0.49905980310587905
1060017350,-0.015566658638946684,-0.020181912535597535
1060023660,-1.2742992207766979,-0.09041173451679696
1060030310,-1.8384629452581214,0.31696838411605244
1060792830,-0.22498852060964758,-0.22229172005207753
1060807450,-0.3431670184690214,0.7422223313278787
1061552590,-0.055188029765451674,0.13297031658021152
1061561940,-17148.002144070375,0.40897446005461235
1061574230,-1.6703595099599204,0.38517422400777734
1061586850,0.1465485035710511,0.5009411001974929
1061586860,-8.494899650860937,0.6807691637881054
1061608860,-1.1305880963225063,0.5124506007430158
1061609680,-0.05418813618783247,0.1921872082136269
1061638580,-2005.5245477971991,0.4745160949209226
1061641370,-0.2989480974842924,0.26594916097706156
1061651690,-1424.3936887073148,0.30254099846933835
1061658860,-269.8720672740187,0.16093212618305308
1061659690,-0.059464417479498266,0.28019069042018074
1070012940,-10.412722246077669,0.5710234617984585
1070013200,-17.758043507821306,0.28847100617884747
1070013300,-0.2262083592061166,0.45451411256774554
1070013820,-0.01806308004826862,0.396888594223629
1070015280,0.09235526089369361,0.3361867085904672
1070030310,-1.8384629452581214,0.31696838411605244
1070696150,-2.188280691053624,0.06522897332111266
1070807450,-0.3431670184690214,0.7422223313278787
1070874990,0.03579448957279563,0.3609910075490219
1071391660,0.09881380236067117,0.40832344098861273
1071567660,0.08851200382440882,0.3354482920299384
1071570290,-0.9551741911312863,0.7271504738676912
1071575000,-1178.4229138325616,0.2978280633911441
1071578070,-0.03464356872010166,0.06314611222660371
1071586850,0.1465485035710511,0.5009411001974929
1071590040,-2.7498031021354246,0.6010532853157075
1071594000,-16.149005921639073,0.6431739975877971
