basin,nse,pearsonr,kge
7050013170,0.518326461315155,0.7565124066290896,0.4385722256357635
7050014040,0.8562477380037308,0.9330158625168095,0.8001188601854411
7050039160,0.7417602837085724,0.8745847163566718,0.8546402236265029
7050039620,0.7439940273761749,0.8626675088139066,0.7961271429379584
7050041050,0.6155940592288971,0.7905312876550558,0.6316840067210502
7050041400,0.6893210113048553,0.8305976712482298,0.7444477095488433
7050042310,0.6499483287334442,0.8148911158901504,0.7616482366069937
7050042740,0.8306804150342941,0.9119394675653806,0.8527163400649604
7050043500,0.49265748262405396,0.7532880775925799,0.5514423287209019
7050043640,0.6026267409324646,0.7884624902826028,0.6242720903783625
7050045890,0.6388533711433411,0.8130068982543411,0.7468885501678586
7050046600,0.5142077207565308,0.7787004921341227,0.7305121240732748
7050047970,0.5096045136451721,0.7286661496332079,0.6053185782288705
7050048860,-1.0350875854492188,0.5028871412504832,0.19090269970897378
7050305410,0.7637129426002502,0.8820449149970808,0.7742384554983434
7050329370,0.7955440878868103,0.8991628764221655,0.839216224958866
7050332670,-0.57184898853302,0.03161085499915053,-0.1930115160666046
7050332680,0.7147733569145203,0.8820779186254113,0.6801432601404901
7050334790,0.772343173623085,0.8913346540900402,0.7760638497503877
7050388580,0.8993537724018097,0.9603810199745618,0.7978053950499434
7050394680,0.8086815029382706,0.9429526841213904,0.659374138009712
7050395340,0.6065843105316162,0.7824941865118278,0.6456549488225289
7050415980,0.605288952589035,0.8027462379415418,0.6242110505616162
7050419360,0.6552082598209381,0.8369932094254005,0.8051486682348746
7050439780,0.7060080170631409,0.8534098032680938,0.8012709768572149
7050445150,0.34181082248687744,0.6104461458464483,0.5555540460430815
7050466540,-0.08332574367523193,0.40690810723079107,0.14851148891404875
7050508340,0.5969838201999664,0.78593193298681,0.5976348903517358
7050512060,0.7016366124153137,0.8397083093548945,0.8103386867724468
7050514640,0.204279363155365,0.5021020470399155,0.28724200502092156
7050527230,0.8483782261610031,0.9233748182729794,0.8818744537975076
7050531210,0.7571050077676773,0.8853157550427312,0.7933581329550091
7050538950,0.07497984170913696,0.48885265412595735,0.43878762028208207
7050539540,0.7280594110488892,0.8581375265712174,0.8131355902939021
7050562140,0.4165691137313843,0.678700450961499,0.40445303440020075
7050566040,0.6679849326610565,0.8472984208686775,0.8282066135874988
7050574760,0.6101649403572083,0.7824595022038151,0.6806488498774734
7050585120,0.7291706502437592,0.876472409660438,0.6896276553821883
7050594240,0.7121949195861816,0.8560607721361252,0.7632670494147225
7050608130,0.6055510938167572,0.7927086417405187,0.7057335597435682
7050610850,0.5892753601074219,0.8116680135014027,0.5700329272353671
7050632220,0.3512917757034302,0.6150969870012759,0.3095496415869827
7050642090,0.46948957443237305,0.7036710809212299,0.6305352212916506
7050649900,0.19748514890670776,0.49288495984237446,0.1873488615412766
7050674630,0.0602300763130188,0.5649101891675545,-0.2038831327145616
7050675410,0.3875247836112976,0.6275246270274768,0.4520183424903802
7050682360,0.684715986251831,0.8318529067156036,0.7976276116053315
7050696340,-0.04425656795501709,0.4618543325042743,-0.46316596550792277
7050702460,0.6959297358989716,0.8391886358899289,0.8053635686071701
7050730500,0.03314352035522461,0.30403308098887594,-0.23366550740379233
7050737080,-0.19843757152557373,0.6459276391054917,0.4242954135768705
7050739170,0.6618978381156921,0.8161114388930759,0.7177885716424635
7050747570,0.2201440930366516,0.47469631179206495,0.17930654407664892
7060013170,0.5186473429203033,0.7563728212419781,0.43970316480315685
7060014040,0.856111690402031,0.933473997097025,0.7976210844388341
7060015900,0.7792832851409912,0.8854510923216299,0.7838030748984481
7060016000,0.8543543517589569,0.9305610353421518,0.8153242699453557
7060016090,0.6550064980983734,0.8224809214803606,0.7412813773441149
7060020500,0.8664174228906631,0.933428631987038,0.848373870351945
7060039160,0.7441271841526031,0.8743649299762957,0.8584581723448013
7060039620,0.7414486110210419,0.8624609376454201,0.8045218404398398
7060041650,0.49568670988082886,0.7102262710849105,0.5506323405827852
7060041900,0.6645031869411469,0.8156681150049049,0.7562193191719266
7060041920,0.5525913834571838,0.7873612971301105,0.7800488210398275
7060042310,0.652817040681839,0.8165878396894276,0.7620542672476491
7060042740,0.8281108736991882,0.9103654949352031,0.8670360170675178
7060043500,0.49154531955718994,0.7518041907423241,0.5546608565189696
7060045410,-0.0821768045425415,0.6803210059340432,0.27802699028029665
7060046130,0.4158238172531128,0.6872910156361653,0.3897330782041931
7060046390,0.38013768196105957,0.6245068562989153,0.5273876365694088
7060046600,0.5184637308120728,0.7795400962822695,0.7308523774603779
7060046870,0.6750125586986542,0.8228681770227289,0.7720588059690296
7060306430,0.7469742596149445,0.8845118172564903,0.6142164298530614
7060317870,0.562906414270401,0.7555705893695172,0.7061290755260989
7060329370,0.7964597195386887,0.9014338539343354,0.8106348945583045
7060330450,0.29676276445388794,0.6525951390397624,0.15969103242835492
7060330710,0.8388232290744781,0.9259311301594295,0.771775101337647
7060334790,0.7782666087150574,0.8923144667437735,0.7872631051420047
7060342130,-0.05396413803100586,0.5412495400722124,0.5070007929092927
7060343660,0.46984630823135376,0.7232239073712327,0.719405505369933
7060345990,0.7004072666168213,0.8529919512606836,0.6798484617345388
7060346150,0.3424481153488159,0.6778779610249919,0.17153576280229577
7060348000,0.6378471255302429,0.8193041426886754,0.8076804724862344
7060355150,0.6212376356124878,0.7977357174842805,0.7697962655378197
7060356500,0.506498247385025,0.7688781986072963,0.7391046868843125
7060356710,0.3997728228569031,0.6894279904171539,0.6458894268966267
7060360890,0.8817872628569603,0.9406445994935979,0.9387793367801697
7060361120,0.8848843723535538,0.9427812566047589,0.9403021691420871
7060362660,-0.3498561382293701,0.5825897974981993,0.4928991249673367
7060363050,0.6285230219364166,0.7953751066641377,0.7331252661837858
7060372710,0.7313620150089264,0.8597319103884056,0.7618882679250609
7060372880,0.32484352588653564,0.5807345568968059,0.4300648781500541
7060373260,0.3777496814727783,0.6772739576296265,0.5403479413230861
7060377730,0.5922817289829254,0.8010534316244871,0.5831407703813773
7060380010,0.8513724207878113,0.9279692665189774,0.8155636450916901
7060382460,0.6737057268619537,0.8584658473695983,0.7096774693876826
7060386560,0.49373292922973633,0.7064452047557406,0.6287799370145618
7060392390,0.7086822092533112,0.8445326788993357,0.7684805483430934
7060394680,0.8277592808008194,0.9421520635098666,0.6962603692899567
7060395340,0.5869184136390686,0.7707924032982492,0.611231371531531
7060397370,0.4048498868942261,0.6506986062458857,0.5907840369413628
7060404520,0.31574517488479614,0.5868058029052694,0.24619530356578634
7060406640,0.43438196182250977,0.6785689904017933,0.5855414771572729
7060411100,0.5523641705513,0.7700886240487833,0.7632606078457335
7060416830,0.5187394618988037,0.7941457623158112,0.5744525620688623
7060420200,0.49199235439300537,0.7176713200877594,0.6862019237009689
7060421730,-0.45936083793640137,0.4082725103924006,0.2872385594796185
7060429220,0.20861423015594482,0.5631990540875015,0.5232410018406088
7060429360,-0.0671541690826416,0.3786720717272293,0.3577802664991413
7060429560,0.5866214334964752,0.7876943693354308,0.7846609188560658
7060438060,0.494448184967041,0.8259921872639384,0.6892179287500864
7060439780,0.7130015790462494,0.8533092803294535,0.800949823983083
7060445150,0.3595820665359497,0.6185736781264102,0.554271408168661
7060446330,0.825346440076828,0.9231115668209271,0.7734911308757311
7060446380,0.6200385987758636,0.8174123868164713,0.6901443884107915
7060448140,0.34856265783309937,0.5968898654125543,0.4871268612001567
7060450950,0.6833388805389404,0.8348676072425338,0.7403574353783466
7060457790,0.1980886459350586,0.47688033170341615,0.31880579982673274
7060465790,0.5523799061775208,0.7781797809480588,0.7651514453360263
7060468870,0.6035817265510559,0.7785293970558316,0.6611348795165995
7060470900,0.2619549632072449,0.6004169392128986,0.5689579480899947
7060473380,0.6022818386554718,0.7812654618666969,0.6764760327244966
7060475160,0.43081235885620117,0.66435502760928,0.5714620672310315
7060476020,0.036838650703430176,0.6524118092002383,0.17824760433426612
7060476350,0.6549130976200104,0.8367176711609421,0.5944488652656335
7060478320,0.5261258482933044,0.7565651671847231,0.4816533984665129
7060483120,0.280659556388855,0.6515928686913217,0.6190319921471663
7060485210,0.34235936403274536,0.6603943866161766,0.36716675264980103
7060488160,0.6577829718589783,0.8204817284069827,0.7219755962355379
7060488320,0.6026139259338379,0.8006474960742482,0.7184010692352123
7060490010,0.5490882396697998,0.7981443769079113,0.7769231482056931
7060492010,0.5304258167743683,0.7431173668341987,0.6857104749961482
7060500890,0.4825851321220398,0.7150966733297818,0.6617859168124138
7060503090,0.5516538918018341,0.7895908720407713,0.7767092402429718
7060505540,-0.10847795009613037,0.3890599350603984,0.37527599048691185
7060506940,0.2718459963798523,0.6546375014351613,0.590757422006634
7060508340,0.5894832611083984,0.7858594212034011,0.5686117434583933
7060511360,0.871543362736702,0.9358401485028977,0.8549619311200324
7060512450,0.3932724595069885,0.6570633693745029,0.6269433710281576
7060513230,0.3851701617240906,0.6733732656919691,0.27519842870772215
7060514260,0.4685813784599304,0.7416694851215593,0.6996953006020243
7060514270,0.37465429306030273,0.703120663517605,0.6977928932931619
7060519270,0.5830594003200531,0.764808801006771,0.6962729092363854
7060527230,0.8280133903026581,0.916790733606307,0.8431157209301943
7060527760,0.004546821117401123,0.6747192022541153,0.5199391424534741
7060529340,0.6906157433986664,0.8363545231142222,0.8215570747146671
7060530380,0.5779852867126465,0.7637603825776573,0.7115280202995549
7060533210,0.46497178077697754,0.7047641703821286,0.6815753336109817
7060534960,-1.044996976852417,0.1513980669787772,0.1285464874992075
7060535230,-0.04699206352233887,0.5487301989632527,0.1304390759285189
7060537830,-0.21601831912994385,0.13596104123604147,-0.08262351190248074
7060538950,0.07529658079147339,0.49083063882313765,0.441764396246495
7060539540,0.7234042882919312,0.8554840802486987,0.834248184697813
7060540990,0.4199625849723816,0.7140989021587146,0.6908317997192649
7060552690,0.43355661630630493,0.6706234529629753,0.6055538227661519
7060555510,0.7935926616191864,0.9138331390475907,0.8070993780325564
7060556150,0.4343385100364685,0.7174950310978594,0.5017117491941387
7060559710,0.6159043610095978,0.7869419514949099,0.7278204339296022
7060563480,0.3205980062484741,0.618398967587432,0.5337185386093288
7060569390,0.6988499164581299,0.8718781119703762,0.5696591375584388
7060573090,0.4647485613822937,0.6963688574391844,0.6288758537069101
7060573680,0.5327008962631226,0.7730440203083453,0.7412014844638712
7060574760,0.6099574267864227,0.7832941927781099,0.6710179151534024
7060575000,0.4794684052467346,0.7310047035790757,0.6861045378849805
7060579270,0.6264750063419342,0.8411353282456622,0.6909846651466818
7060579820,0.4893234372138977,0.7078877634397314,0.5300647464120747
7060585430,-0.053762197494506836,0.12745698512310533,-0.07652900917435335
7060591780,0.6475408375263214,0.8122713096330048,0.7241116426525503
7060597680,0.5317288041114807,0.7489026410096234,0.7176776804827947
7060617540,0.32545793056488037,0.572468215924198,0.4027798439426087
7060626100,0.17626535892486572,0.5238286970170076,0.38765048960210613
7060636470,0.5521306395530701,0.7993044114525654,0.7254159929585828
7060645560,0.7409335076808929,0.88029752429797,0.7022103487330715
7060650970,0.5364037454128265,0.7363827183881679,0.676735946028072
7060656490,0.3749338388442993,0.62552447760592,0.5480424329997413
7060674060,-0.571911096572876,0.5500229449107715,0.008822024491046299
7060674630,0.06331562995910645,0.5639252073496124,-0.1988487375980379
7060675410,0.38017016649246216,0.6207898638755196,0.4151280520060895
7060677450,0.0667315125465393,0.3266833964541236,-0.12341452648018914
7060679160,0.18638736009597778,0.5635725479425061,0.07051114025608707
7060686940,0.5969859957695007,0.7990313626611778,0.7878026467958901
7060687690,0.65618035197258,0.8124219285215754,0.7326558196661555
7060696340,-0.04610586166381836,0.458068664227057,-0.47012288003646474
7060702460,0.6718562245368958,0.8339401123183983,0.7843049283135393
7060706180,0.35725897550582886,0.622798003539474,0.40389011236980277
7060721150,0.5277933180332184,0.7290653097333777,0.5822261829459463
7060730500,0.03380662202835083,0.3100360511889163,-0.2348296655425326
7060733840,-0.024469375610351562,0.3642025768299393,-0.11128615617718962
7060737080,-0.2015303373336792,0.6459239350697505,0.4229235112325821
7060747570,0.21973764896392822,0.47414991467155476,0.18026028312450915
7070012450,0.5653615593910217,0.7587546101886975,0.4521218417176409
7070012480,0.6845337748527527,0.8466068435104237,0.5866442979359641
7070012800,0.49566489458084106,0.8080629911503167,0.20754365184845658
7070013800,0.9136596471071243,0.9568391371247192,0.9339780885941379
7070013880,0.7981366515159607,0.8933910838742813,0.8500888522967817
7070015220,0.8615088909864426,0.9395042639324622,0.78326076149271
7070015900,0.7773382067680359,0.8853650614339386,0.7738414588128273
7070016000,0.8620464950799942,0.930864894782184,0.8475140558200389
7070016090,0.6721842885017395,0.8233720669071312,0.7782372609691899
7070038480,0.570061981678009,0.7655140522537038,0.6952080875559408
7070039570,0.6779374182224274,0.8616283859417275,0.781592425813067
7070041650,0.5047516524791718,0.7133440550708612,0.5929576933089771
7070041920,0.5462837815284729,0.7883141211041226,0.7724433596509611
7070043360,0.5975536704063416,0.8069824814223622,0.711724746125424
7070043740,0.22724014520645142,0.5203968021014663,0.44113529365297643
7070045410,-0.07279622554779053,0.6811302396701193,0.29020889887235346
