basin,nse,kge
1050013070,-4.586373418835715,0.6657685045174864
1050013950,0.04735877735738303,0.7277534898818334
1050014220,0.012804229126361921,0.6029922753995645
1050014490,-4.564021695741574,0.6510081595755008
1050014920,-9.210763875200827,0.6950260162609632
1050016760,-40.75630722551301,0.2859769493893425
1050017350,-21.153361846784037,0.2556799830649906
1050030450,0.5113054118683693,0.7254085430720267
1050792830,-0.5355542784536051,-0.9818568268208585
1050792840,-1.3790281605494212,0.3310531707159843
1051315930,-4.299131999020984,0.584776012558338
1051552590,0.6065889884386901,0.7805946485205225
1051608860,-0.5975369171286049,0.6511375229313258
1051616230,0.20449775267404557,0.7327252579522007
1051628760,-2.8073408036539655,0.4647831434035872
1051629430,-1.1711132208697612,0.22068614050644797
1060013070,-4.586373418835715,0.6657685045174864
1060013200,0.23619474592143685,0.7874500446225068
1060013820,-7.166586118731628,0.5041685707153739
1060013950,0.04735877735738303,0.7277534898818334
1060016760,-40.75630722551301,0.2859769493893425
1060017350,-21.153361846784037,0.2556799830649906
1060023660,0.37973147603649016,0.6868341250073452
1060030310,-0.6706458177389838,0.7131831311934097
1060792830,-0.5355542784536051,-0.9818568268208585
1060807450,0.6683660870925741,0.8688774116619155
1061552590,0.6065889884386901,0.7805946485205225
1061561940,-276.9004508763479,0.061543673637142304
1061574230,-1.051360512618328,0.5421374674589742
1061586850,-1.8697997192855467,0.4932169758815641
1061586860,-4.751051549244803,0.5874527260712435
1061608860,-0.5975369171286049,0.6511375229313258
1061609680,-0.03529263487245138,0.41214380720312693
1061638580,0.1412847687372799,0.5466167512768019
1061641370,0.2438528859646798,0.6397987966269317
1061648810,-35.36818815635349,0.3365913168075626
1061651690,-88.25834699738806,0.1497076049838686
1061658860,-44.529541896667894,0.62382201720812
1061659690,-21.287363990921357,0.5449400937283336
1070012940,0.3924274136445026,0.7399665201086623
1070013200,0.23619474592143685,0.7874500446225068
1070013300,-0.7551782096068049,0.6514278337553341
1070013820,-7.166586118731628,0.5041685707153739
1070015280,0.19723383967312236,0.8085318820247256
1070030310,-0.6706458177389838,0.7131831311934097
1070696150,-1.593124931760098,0.3678767905340079
1070807450,0.6683660870925741,0.8688774116619155
1070874990,-0.2808724423654745,0.8468191016999691
1071391660,-0.49628389264448924,0.8844149631824588
1071567660,-0.8656587054180027,0.32207062225926175
1071570290,-6.082141922123258,0.5563505639301493
1071575000,0.24363201265734225,0.5007802460204411
1071578070,0.113689410151679,0.3995079481010878
1071586850,-1.8697997192855467,0.4932169758815641
1071590040,-0.5876756603896087,0.6163425418804778
1071594000,-2.2040451946847734,0.6264723484118042
1071594090,0.4089859851272257,0.7294623192148841
1071594970,-4.962213199265677,0.6792732890650794
1071599330,-0.4626829973580917,0.6122417716554857
1071606280,-1.4232694345537618,0.7567408779774243
1071607130,-73.81223403371274,0.5524430128773918
1071609580,0.09583451901108386,0.4870517999981929
1071609680,-0.03529263487245138,0.41214380720312693
1071610350,0.28177237623591167,0.6201366000342595
1071612970,-1.8430694273495525,0.41398081723871294
1071613460,-310515.394014924,0.11987768089840911
1071617620,-0.6619554124847378,0.5135186183815583
1071638740,-0.14917104077732635,0.7013188708985527
1071641850,-1.2506361604524399,0.38456299004066363
1071648810,-35.36818815635349,0.3365913168075626
1071650170,-5.1725551633505455,0.12955879426524008
1071650630,0.058797686704536334,0.28001700885572567
1071651690,-88.25834699738806,0.1497076049838686
1071659150,-135.12536526443137,0.41728293981602027
2050006110,-0.04292811934593255,0.5874455115133438
2050017150,0.5655178498055184,0.7731119672903193
2050017480,-1.9106801458603386,-0.06564302888844709
2050017690,-144.7688285484815,0.5546133562961061
2050026920,0.7041704061071029,0.8577691687335302
2050027320,-1.2206375558707574,0.46026733830485567
