basin,relative_diff,glofas_area,grdc_area
5070211570,0.12221770352850977,3.293569e9,3207.0
5070258670,0.1572752404448103,7.9368484e9,7490.0
5070275150,0.5819369514950578,5.1039887e9,5115.4501953125
5070309740,0.17547010956282535,6.4712827e9,6503.0
5070517640,0.23011841288594231,1.8185059e9,1807.0
5070578390,0.5053020615336798,3.8983603e9,3974.0
5070589300,0.4330063165810908,1.6312337e9,1552.0
5070612510,0.5146648391322056,6.0999526e8,600.7999877929688
6050012020,0.21264634469106655,3.524914e10,35150.0
6050012790,0.21586695327889527,6.2702985e10,63300.0
6050013750,0.10757658493432043,4.6486974e10,46731.0
6050026750,0.1902765223427745,2.4235938e10,24029.0
6050026990,0.09900830566869231,2.0943352e10,19870.0
6050238630,0.37486214482343744,5.1685835e10,51343.0
6050266880,0.24778473545345864,6.1333064e7,162000.0
6050334800,0.40973354047167837,2.1455398e8,50000.0
6050425550,0.09599269077083328,6.0362408e10,60300.0
6050451390,0.1587932943015023,4.396634e10,44910.0
6050483010,0.2938161360018836,5.223688e10,52200.0
6050624870,0.11437653404312736,1.8296037e10,19100.0
6050639910,0.07534752162099598,4.102581e10,41300.0
6050652910,0.26335238950004336,2.6657358e10,26500.0
6050667100,0.14219222114881294,1.0228763e11,102750.0
6050762870,0.2476435327756327,3.4261746e10,34432.0
6050774200,0.24570899916834973,2.1432492e10,20982.0
6050790150,0.21285321552470599,8.854206e10,96000.0
6050793620,0.11841095915667296,6.7448852e10,67317.0
6060012760,0.1013885585413746,3.0703528e10,30360.0
6060026750,0.18973624441601422,2.4235938e10,24029.0
6060026990,0.09944921969489391,2.0943352e10,19870.0
6060152600,0.09387747271290792,4.935942e10,50985.0
6060228900,0.01035543668512469,3.8828155e10,37910.0
6060367430,0.031346335573485956,2.6324013e10,26200.0
6060411830,0.005442394875009146,6.9720334e10,70100.0
6060453450,0.06288001923501384,3.2768217e10,33693.0
6060453500,0.12444023234064994,4.7339756e9,4650.0
6060462200,0.06266493186378995,9.598938e9,9543.0
6060501000,0.19179212628672102,3.706334e10,37100.0
6060517380,0.13067720949318587,2.2757106e10,46300.0
6060537520,0.2588457221690028,5.4465306e9,5410.0
6060540290,0.44147503961425594,1.4072505e10,13900.0
6060543710,0.04163346126400555,3.980072e9,3860.0
6060546270,0.3636711512638321,1.1457311e10,10560.0
6060589150,0.5381131871801813,1.6238867e10,16300.0
6060599670,0.13131534920973184,1.74409e10,17160.0
6060624870,0.11429965767182111,1.8296037e10,19100.0
6060644080,0.298944306441211,1.5839308e10,16230.0
6060644890,0.004839756873546632,4.529973e9,4688.0
6060652910,0.2633586563625884,2.6657358e10,26500.0
6060736420,0.37190401699706965,1.3656189e10,13590.0
6060772020,0.237159036941156,3.258318e9,3294.0
6060774200,0.24599371426782837,2.1432492e10,20982.0
6060793080,0.16886993180640109,6.726449e9,6696.0
6060801970,0.07113773296066618,2.676608e9,2614.0
6060823060,0.39809574504264383,9.446855e9,9426.0
6060955480,0.9451938446230499,2.934675e10,16400.0
6070026840,0.31040959135725915,9.932066e9,10402.2001953125
6070146870,0.1459958664901857,1.5512114e10,16065.0
6070183080,0.18571958219012305,5.69145e9,4708.0
6070259940,0.05665788307461046,3.74902e9,4000.0
6070301080,0.05910513462100288,1.0945183e10,11047.0
6070316690,0.10582170280776365,2.525541e10,24351.0
6070330230,0.26337866803877624,8.302582e9,8078.0
6070418190,0.15012552913119165,2.3393325e10,23365.0
6070441970,0.052194885776277566,1.2472312e10,12600.0
6070453500,0.12382117748513305,4.7339756e9,4650.0
6070479040,0.036857838133733084,1.517e10,15200.0
6070506160,0.25710387677690294,2.4637065e10,24700.0
6070508560,0.038791281143445315,4.3553014e9,4410.0
6070537520,0.26361224859296084,5.4465306e9,5410.0
6070543710,0.042671528633346834,3.980072e9,3860.0
6070553940,0.5482337729810615,2.6090913e9,2517.0
6070570680,0.045806661382364645,5.1842044e10,54200.0
6070583300,0.38427447979474966,3.4443484e9,3248.0
6070612660,0.1097101512626075,3.0058394e9,2810.0
6070644890,0.004845272582805609,4.529973e9,4688.0
6070658830,0.11872720720791265,7.600506e9,7760.0
6070742440,0.32698964517999995,3.8762148e9,3750.0
6070772020,0.23781045162634265,3.258318e9,3294.0
6070782190,0.22631277398678706,1.5161252e9,1350.0
6070783690,0.24709843308153884,2.5773366e9,2513.0
6070793080,0.16911788247322207,6.726449e9,6696.0
6070801970,0.0684788236211169,2.676608e9,2614.0
6070891940,0.2950547776973997,3.927577e9,4014.699951171875
6070924460,0.33523614130678575,1.4664389e8,7252.5
6070933500,0.16927315638459317,5.82354e9,5549.39990234375
6070946560,0.039724636665784616,1.393824e8,750.0
7050039160,0.18208573552486904,1.2013408e10,12004.7001953125
7050039620,0.14679686609119044,2.4998666e10,25019.400390625
7050041050,0.19347381258382693,6.2494503e10,62419.0
7050042310,0.2659027680876015,2.1987172e10,21714.599609375
7050042740,0.14099463208124416,1.0097422e10,10101.0
7050043500,0.16237397700225373,2.568955e10,25511.5
7050043640,0.3582887110339969,3.5217187e10,35224.0
7050045480,0.5867251265115657,2.4443275e10,24320.099609375
7050045890,0.37273305108269045,4.4655444e10,44548.0
7050046600,0.24002956102418077,2.1481878e10,21248.400390625
7050047970,0.4986040087079579,7.987921e7,44511.69921875
7050184430,0.8661562553052509,2.841599e10,28000.0
7050184580,0.31573226084748507,6.359255e9,7270.0
7050394680,0.01983464499024966,2.8858075e10,29008.0
7050415980,0.2617050062252016,6.40259e8,41958.0
7050445150,0.04598343123970273,2.7292631e10,28904.400390625
7050512060,0.1466471683197919,3.2272994e10,32375.0
7050531210,0.08926540874904856,3.6665524e10,36358.3984375
7050539540,0.0015948560538552982,1.0124632e10,10411.7998046875
7050562140,0.13139751579361103,1.5443614e11,154768.0
7050566040,0.28864879031383833,6.487892e10,69267.0
7050594240,0.4049175687065992,2.423316e7,74164.703125
7050610850,0.09233614618921707,8.582857e10,85832.6015625
7050642090,0.13624632898395275,2.9897775e10,29873.099609375
7050675410,0.3367775134609928,1.2095546e10,11999.5
7050682360,0.24964488716039498,6.0508512e10,60686.30078125
7050739170,0.3007627371213772,4.791133e10,47700.0
7050747570,0.10514635536050523,1.0724102e10,10870.2001953125
7060039160,0.18124430822845367,1.2013408e10,12004.7001953125
7060039620,0.1468207009635849,2.4998666e10,25019.400390625
7060041650,0.14591623348718905,4.188091e9,4133.60009765625
7060041920,0.2457093129198747,3.4685844e9,3481.0
7060042310,0.2657056239447698,2.1987172e10,21714.599609375
7060042740,0.1415456276115685,1.0097422e10,10101.0
7060043500,0.161493676693519,2.568955e10,25511.5
7060045410,0.7038582170450585,4.310316e9,4713.7998046875
7060045480,0.5868194457779088,2.4443275e10,24320.099609375
7060046130,0.4082600661947462,1.1298183e10,11354.599609375
7060046390,0.3427930780795484,9.978187e9,9886.0
7060046600,0.24010316551792865,2.1481878e10,21248.400390625
7060046870,0.2568767789933514,1.7204613e10,17024.099609375
7060174110,0.17413718330851272,2.842989e9,2875.0
7060184430,0.8661941309850723,2.841599e10,28000.0
7060184580,0.31676063811082183,6.359255e9,7270.0
7060242640,0.8542512062743108,1.19043e10,24800.0
7060242880,0.8488411156012704,3.5501642e9,3580.0
7060259200,0.4159638867978532,3.6437898e9,3720.0
7060263970,0.03595180215026405,3.7120325e9,3730.0
7060382460,0.7306557254601349,4.338128e9,4291.60009765625
7060382860,0.2758977485708189,2.176404e7,22000.0
7060394680,0.01981741410964849,2.8858075e10,29008.0
7060411100,0.06841491070277925,1.0252677e10,10178.7001953125
7060420200,0.05909474482549589,1.6312504e10,16161.599609375
7060429560,0.04713741668946088,2.399892e10,23335.900390625
7060438060,0.3501163137472211,3.508579e9,3470.60009765625
7060445150,0.047287091876287844,2.7292631e10,28904.400390625
7060450950,0.330034736371472,6.4957727e9,6389.5
7060465790,0.12593103765891492,2.2582836e7,26936.0
7060470900,0.37659029216665246,3.0066297e10,29992.19921875
7060483120,0.015324370011194537,2.0908088e9,2185.89990234375
